"pollingstation","TECnum","regionmarzes","TEC","subregion","avagian","geghamian","demirchian","karapetian","harutyunian","manukian","margarian","sargsian","kocharian","total","PSnum","mon_voting","mon_counting","mon_voting_R2","NOTmon_voting","PollingStationR2","DemirchianR2","KocharianR2","votersR2","mon_votingR2","mom_countingR2","yi2","O1","O2","O3","O4","O5","O6","O7","O8","O9","AveKocharian","urban","totalvoters","turnout","R2turnout","nearNagorno","Ararat","Armavir","Gegharkunik","Kotayk","Lori","Shirak","Syunik","Tavush","Vayots_Dzor","Yerevan","phat","voterspersqkm","regiontotalvoters","regiontotalmonitors","voterpermonitoredstation","R1R2only","_Isubregion_2","_Isubregion_3","_Isubregion_4","_Isubregion_5","_Isubregion_6","_Isubregion_7","_Isubregion_8","_Isubregion_9","_Isubregion_10","_Isubregion_11","_Isubregion_12","_Isubregion_13","_Isubregion_14","_Isubregion_15","_Isubregion_16","_Isubregion_17","_Isubregion_18","_Isubregion_19","_Isubregion_20","_Isubregion_21","_Isubregion_22","_Isubregion_23","_Isubregion_24","_Isubregion_25","_Isubregion_26","_Isubregion_27","_Isubregion_28","_Isubregion_29","_Isubregion_30","_Isubregion_31","_Isubregion_32","_Isubregion_33","_Isubregion_34","_Isubregion_35","_Isubregion_36","_Isubregion_37","_Isubregion_38","_Isubregion_39","_Isubregion_40"
"  0327. N 8 Night School",15,"Yerevan","Tec#15","Kentron",0.00360000017099082,0.182500004768372,0.247800007462502,0.0178999993950129,0.0009000000427477,0.0152000002563,0.0009000000427477,0.0009000000427477,0.530400037765503,1118,327,1,0,1,0,"0327. N 8 Night School",0.363799959421158,0.63620001077652,1204,1,0,0.682940661907196,0,0,0,1,0,0,0,1,1,0.583299994468689,1,1632,0.685048997402191,0.737745106220245,0,0,0,0,0,0,0,0,0,0,1,0.511241793632507,3274.14990234375,679413,270,2516.34448242188,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  0193. N 156 School",9,"Yerevan","Tec#9","Ajapnyak",0.00270000007003546,0.199699997901917,0.451399981975555,0.0213000010699034,0.00130000000353903,0.00529999984428287,0,0.00130000000353903,0.316900014877319,751,193,1,0,1,0,"0193. N 156 School",0.491800010204315,0.508199989795685,1039,1,0,0.566571354866028,0,0,0,1,0,0,0,1,1,0.412550002336502,1,1446,0.519363760948181,0.718533873558044,0,0,0,0,0,0,0,0,0,0,1,0.464844524860382,3274.14990234375,679413,270,2516.34448242188,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  0155. N 54 Kindergarten",7,"Yerevan","Tec#7","Arabkir",0.0108000002801418,0.218799993395805,0.177199989557266,0.1283999979496,0,0.00360000017099082,0,0.00180000008549541,0.459300011396408,553,155,1,0,1,0,"0155. N 54 Kindergarten",0.174700006842613,0.825299978256226,601,1,0,0.644187211990356,0,0,0,1,0,0,0,1,1,0.642300009727478,1,1273,0.434406906366348,0.472113132476807,0,0,0,0,0,0,0,0,0,0,1,0.422213047742844,3274.14990234375,679413,270,2516.34448242188,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  0270. N 111 Kindergarten",12,"Yerevan","Tec#12","Shengavit",0.00249999994412065,0.20100000500679,0.40080001950264,0.02280000038445,0,0.011400000192225,0,0,0.361600011587143,791,270,1,0,1,0,"0270. N 111 Kindergarten",0.294900000095367,0.705099999904633,1007,1,0,0.590935289859772,0,0,0,1,0,0,0,1,1,0.533349990844727,1,1416,0.558615803718567,0.711158215999603,0,0,0,0,0,0,0,0,0,0,1,0.457396864891052,3274.14990234375,679413,270,2516.34448242188,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"  0028. N 135 School",2,"Yerevan","Tec#2","Nor-Nork",0.00730000017210841,0.11149999499321,0.279699981212616,0.0183000005781651,0.0009000000427477,0.0740000009536743,0,0.0009000000427477,0.507300019264221,1094,28,0,0,1,1,"028. N 135 School",0.230800002813339,0.769200086593628,1053,1,0,0.683099508285522,0,0,1,0,0,0,1,0,1,0.63824999332428,1,1984,0.551411271095276,0.530745983123779,0,0,0,0,0,0,0,0,0,0,1,0.597882747650146,3274.14990234375,679413,270,2516.34448242188,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"  0209. N 311 Kindergarten",10,"Yerevan","Tec#10","Malatia-Sebastia",0.0044999998062849,0.233300000429153,0.310799986124039,0.0207000002264977,0.00180000008549541,0.00720000034198165,0,0.00180000008549541,0.419799983501434,1110,209,1,0,1,0,"0209. N 311 Kindergarten",0.536199986934662,0.463800013065338,1035,1,1,0.622657537460327,0,0,0,1,0,0,0,1,1,0.441799998283386,1,1887,0.588235318660736,0.548489689826965,0,0,0,0,0,0,0,0,0,0,1,0.574378967285156,3274.14990234375,679413,270,2516.34448242188,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  0119. N 21 School",6,"Yerevan","Tec#6","Arabkir",0.0019000000320375,0.0746999979019165,0.118400000035763,0.0208999998867512,0.00059999997029081,0.012699999846518,0,0.00130000000353903,0.769599974155426,1580,119,1,0,1,0,"0119. N 21 School",0.229000002145767,0.7710000872612,1515,1,1,0.813317954540253,0,0,0,1,0,0,0,1,1,0.770300030708313,1,1924,0.821205794811249,0.787422060966492,0,0,0,0,0,0,0,0,0,0,1,0.583390176296234,3274.14990234375,679413,270,2516.34448242188,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  0061. N 22 kindergarden",3,"Yerevan","Tec#3","Nor-Nork",0.0066000004298985,0.218899995088577,0.365200012922287,0.0439999997615814,0.00109999999403954,0.0153999999165535,0.00109999999403954,0,0.347599983215332,909,61,1,0,0,0,"061. N 22 kindergarden",0.403400003910065,0.596599996089935,1009,0,0,0.583304524421692,0,1,0,0,0,1,0,0,1,0.472099989652634,1,1588,0.57241815328598,0.635390400886536,0,0,0,0,0,0,0,0,0,0,1,0.500253796577454,3274.14990234375,679413,270,2516.34448242188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"  0344. N 10 School",15,"Yerevan","Tec#15","Kentron",0.00959999952465296,0.244400009512901,0.383599996566772,0.0275999996811152,0.00209999992512167,0.00959999952465296,0,0,0.323100000619888,941,344,1,0,1,0,"0344. N 10 School",0.528699994087219,0.471300005912781,1061,1,0,0.569950699806213,0,0,0,1,0,0,0,1,1,0.397199988365173,1,1921,0.489849030971527,0.55231648683548,0,0,0,0,0,0,0,0,0,0,1,0.582661509513855,3274.14990234375,679413,270,2516.34448242188,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  0389. N 56 Kindergarten",17,"Yerevan","Tec#17","Erebuni",0.00100000004749745,0.218199998140335,0.393499970436096,0.0197999998927116,0,0.00730000017210841,0,0,0.360099971294403,958,389,1,0,1,0,"0389. N 56 Kindergarten",0.299600005149841,0.700399994850159,1255,1,0,0.590117692947388,0,0,0,1,0,0,0,1,1,0.530249953269959,1,1989,0.481649070978165,0.630970358848572,0,0,0,0,0,0,0,0,0,0,1,0.599083125591278,3274.14990234375,679413,270,2516.34448242188,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
