"","obs","date_id","unit","total_fatal","white_fatal","black_fatal","auth","eff","black","toe","count","integration_pct","black_imputed","period","specpct_imputed","specpct_imputed100","data","white","specpct_real","specpct_real100","blackbn"
"73",10051,1953071,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",0,0,0,NA,NA,NA,917,73,0.13733024631977,125.931835875229,530701,0,0,0,NA,NA,NA,0
"74",10051,1953072,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 1ST BATTALION",0,0,0,NA,NA,NA,917,74,0.13733024631977,125.931835875229,530702,0,0,0,NA,NA,NA,0
"107",10052,1951111,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,894,970,NA,917,33,0.13733024631977,125.931835875229,511101,0,0,0,NA,NA,NA,0
"108",10052,1951112,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",1,1,0,894,958,NA,917,34,0.13733024631977,125.931835875229,511102,0.00126411356865358,0.126411356865358,0,NA,NA,NA,0
"109",10052,1951121,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,NA,NA,NA,917,35,0.13733024631977,125.931835875229,511201,0,0,0,NA,NA,NA,0
"110",10052,1951122,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,NA,NA,NA,917,36,0.13733024631977,125.931835875229,511202,0,0,0,NA,NA,NA,0
"111",10052,1952011,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,894,830,NA,917,37,0.13733024631977,125.931835875229,520101,0,0,0,NA,NA,NA,0
"112",10052,1952012,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,890,830,NA,917,38,0.13733024631977,125.931835875229,520102,0,0,0,NA,NA,NA,0
"113",10052,1952021,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,890,835,NA,917,39,0.13733024631977,125.931835875229,520201,0,0,0,NA,NA,NA,0
"114",10052,1952022,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,NA,NA,NA,917,40,0.13733024631977,125.931835875229,520202,0,0,0,NA,NA,NA,0
"115",10052,1952031,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,NA,NA,NA,917,41,0.13733024631977,125.931835875229,520301,0,0,0,NA,NA,NA,0
"116",10052,1952032,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,854,779,NA,917,42,0.13733024631977,125.931835875229,520302,0,0,0,NA,NA,NA,0
"117",10052,1952041,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,854,642,NA,917,43,0.13733024631977,125.931835875229,520401,0,0,0,NA,NA,NA,0
"118",10052,1952042,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,854,665,NA,917,44,0.13733024631977,125.931835875229,520402,0,0,0,NA,NA,NA,0
"119",10052,1952051,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,854,719,NA,917,45,0.13733024631977,125.931835875229,520501,0,0,0,NA,NA,NA,0
"120",10052,1952052,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,854,769,NA,917,46,0.13733024631977,125.931835875229,520502,0,0,0,NA,NA,NA,0
"121",10052,1952061,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,854,786,NA,917,47,0.13733024631977,125.931835875229,520601,0,0,0,NA,NA,NA,0
"122",10052,1952062,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,854,768,NA,917,48,0.13733024631977,125.931835875229,520602,0,0,0,NA,NA,NA,0
"123",10052,1952071,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,854,750,NA,917,49,0.13733024631977,125.931835875229,520701,0,0,0,NA,NA,NA,0
"124",10052,1952072,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,854,696,NA,917,50,0.13733024631977,125.931835875229,520702,0,0,0,NA,NA,NA,0
"125",10052,1952081,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,854,684,NA,917,51,0.13733024631977,125.931835875229,520801,0,0,0,NA,NA,NA,0
"126",10052,1952082,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,854,723,NA,917,52,0.13733024631977,125.931835875229,520802,0,0,0,NA,NA,NA,0
"127",10052,1952091,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,854,751,NA,917,53,0.13733024631977,125.931835875229,520901,0,0,0,NA,NA,NA,0
"128",10052,1952092,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,NA,NA,NA,917,54,0.13733024631977,125.931835875229,520902,0,0,0,NA,NA,NA,0
"129",10052,1952101,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,854,792,NA,917,55,0.13733024631977,125.931835875229,521001,0,0,0,NA,NA,NA,0
"130",10052,1952102,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,854,834,NA,917,56,0.13733024631977,125.931835875229,521002,0,0,0,NA,NA,NA,0
"131",10052,1952111,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,854,702,NA,917,57,0.13733024631977,125.931835875229,521101,0,0,0,NA,NA,NA,0
"132",10052,1952112,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,854,652,NA,917,58,0.13733024631977,125.931835875229,521102,0,0,0,NA,NA,NA,0
"133",10052,1952121,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,854,614,NA,917,59,0.13733024631977,125.931835875229,521201,0,0,0,NA,NA,NA,0
"134",10052,1952122,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,854,709,NA,917,60,0.13733024631977,125.931835875229,521202,0,0,0,NA,NA,NA,0
"135",10052,1953011,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,854,559,NA,917,61,0.13733024631977,125.931835875229,530101,0,0,0,NA,NA,NA,0
"136",10052,1953012,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,854,636,NA,917,62,0.13733024631977,125.931835875229,530102,0,0,0,NA,NA,NA,0
"137",10052,1953021,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,887,649,NA,917,63,0.13733024631977,125.931835875229,530201,0,0,0,NA,NA,NA,0
"138",10052,1953022,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,887,758,NA,917,64,0.13733024631977,125.931835875229,530202,0,0,0,NA,NA,NA,0
"139",10052,1953031,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,887,714,NA,917,65,0.13733024631977,125.931835875229,530301,0,0,0,NA,NA,NA,0
"140",10052,1953032,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,887,689,NA,917,66,0.13733024631977,125.931835875229,530302,0,0,0,NA,NA,NA,0
"141",10052,1953041,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,887,680,NA,917,67,0.13733024631977,125.931835875229,530401,0,0,0,NA,NA,NA,0
"142",10052,1953042,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,NA,NA,NA,917,68,0.13733024631977,125.931835875229,530402,0,0,0,NA,NA,NA,0
"143",10052,1953051,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,887,646,NA,917,69,0.13733024631977,125.931835875229,530501,0,0,0,NA,NA,NA,0
"144",10052,1953052,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,NA,NA,NA,917,70,0.13733024631977,125.931835875229,530502,0,0,0,NA,NA,NA,0
"145",10052,1953061,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,NA,NA,NA,917,71,0.13733024631977,125.931835875229,530601,0,0,0,NA,NA,NA,0
"146",10052,1953062,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,NA,NA,NA,917,72,0.13733024631977,125.931835875229,530602,0,0,0,NA,NA,NA,0
"147",10052,1953071,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,NA,NA,NA,917,73,0.13733024631977,125.931835875229,530701,0,0,0,NA,NA,NA,0
"148",10052,1953072,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 2ND BATTALION",0,0,0,NA,NA,NA,917,74,0.13733024631977,125.931835875229,530702,0,0,0,NA,NA,NA,0
"181",10053,1951111,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",3,1,0,894,964,NA,917,33,0.13733024631977,125.931835875229,511101,0.00126411356865358,0.126411356865358,0,NA,NA,NA,0
"182",10053,1951112,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",0,0,0,894,940,NA,917,34,0.13733024631977,125.931835875229,511102,0,0,0,NA,NA,NA,0
